Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
68205,X - Northern Mindanao,46381,Male,63,Extended Family,5,20,8,2,1
70017,X - Northern Mindanao,51969,Male,37,Single Family,3,15,10,1,1
82215,X - Northern Mindanao,58599,Male,34,Single Family,6,25,12,2,1
67181,X - Northern Mindanao,23874,Female,51,Single Family,2,15,5,1,1
58385,X - Northern Mindanao,32799,Female,52,Single Family,2,20,13,1,1
100937,X - Northern Mindanao,42229,Male,28,Single Family,4,50,11,2,1
92928,X - Northern Mindanao,52145,Male,34,Single Family,4,25,10,2,1
114898,X - Northern Mindanao,31069,Male,32,Single Family,1,150,65,4,1
22248,X - Northern Mindanao,12480,Male,74,Single Family,1,45,32,1,0
74175,X - Northern Mindanao,44101,Male,46,Extended Family,6,150,10,2,1
87348,X - Northern Mindanao,33083,Female,66,Extended Family,4,40,15,2,0
86083,X - Northern Mindanao,38212,Male,67,Single Family,4,45,6,2,0
372446,X - Northern Mindanao,73382,Male,49,Single Family,3,40,11,2,1
128486,X - Northern Mindanao,51847,Male,32,Extended Family,5,46,15,2,1
63746,X - Northern Mindanao,34194,Male,45,Single Family,3,51,13,4,1
110270,X - Northern Mindanao,38418,Male,40,Single Family,4,31,10,2,0
90592,X - Northern Mindanao,52864,Male,78,Extended Family,6,41,37,3,1
129422,X - Northern Mindanao,45849,Male,44,Single Family,4,31,10,2,1
141163,X - Northern Mindanao,64065,Female,51,Extended Family,4,31,25,3,1
143173,X - Northern Mindanao,67405,Male,48,Single Family,5,50,14,1,0
415741,X - Northern Mindanao,64254,Male,83,Single Family,2,40,25,3,1
145152,X - Northern Mindanao,56613,Male,51,Single Family,8,90,23,1,0
50730,X - Northern Mindanao,37849,Male,58,Single Family,1,72,20,1,0
48975,X - Northern Mindanao,12399,Male,77,Single Family,1,31,15,2,1
124895,X - Northern Mindanao,62573,Male,52,Single Family,5,270,40,2,1
116294,X - Northern Mindanao,40975,Male,51,Single Family,3,120,14,2,1
641247,X - Northern Mindanao,126477,Male,44,Single Family,4,40,15,3,1
788192,X - Northern Mindanao,121642,Male,57,Single Family,6,60,24,4,1
173932,X - Northern Mindanao,71837,Female,36,Single Family,4,37,16,2,1
699530,X - Northern Mindanao,97619,Male,48,Single Family,3,60,13,3,1
124218,X - Northern Mindanao,50755,Male,81,Extended Family,4,72,41,3,1
47864,X - Northern Mindanao,26281,Male,54,Single Family,1,35,15,2,1
123834,X - Northern Mindanao,24932,Male,57,Single Family,4,48,16,3,1
60228,X - Northern Mindanao,30989,Male,46,Single Family,4,50,12,2,0
62650,X - Northern Mindanao,48426,Female,45,Single Family,4,70,14,2,0
57448,X - Northern Mindanao,40035,Male,34,Single Family,8,24,7,1,0
76211,X - Northern Mindanao,51610,Male,50,Extended Family,5,37,28,1,0
48539,X - Northern Mindanao,21729,Male,40,Single Family,2,45,5,1,0
57585,X - Northern Mindanao,33134,Male,28,Extended Family,5,80,18,0,0
74907,X - Northern Mindanao,54139,Male,49,Single Family,5,20,12,1,1
56881,X - Northern Mindanao,36072,Male,31,Single Family,5,120,31,0,0
98070,X - Northern Mindanao,52819,Male,48,Single Family,5,54,16,2,1
80172,X - Northern Mindanao,59859,Male,52,Extended Family,9,80,11,3,0
102056,X - Northern Mindanao,43847,Male,54,Extended Family,6,60,17,2,1
97981,X - Northern Mindanao,50659,Male,46,Single Family,8,60,15,2,1
47479,X - Northern Mindanao,28470,Male,34,Single Family,4,40,18,1,0
57354,X - Northern Mindanao,28672,Male,21,Single Family,3,80,20,2,0
55585,X - Northern Mindanao,34349,Male,30,Single Family,4,60,11,2,0
16238,X - Northern Mindanao,10760,Male,95,Single Family,1,60,20,2,0
54625,X - Northern Mindanao,29085,Male,47,Single Family,3,40,16,1,0
89265,X - Northern Mindanao,47922,Male,52,Single Family,6,50,19,0,0
595617,X - Northern Mindanao,145648,Male,70,Extended Family,7,100,11,4,1
245943,X - Northern Mindanao,70070,Female,56,Extended Family,5,80,15,2,1
52582,X - Northern Mindanao,23821,Male,22,Single Family,4,30,22,0,0
53522,X - Northern Mindanao,32415,Male,59,Single Family,5,45,20,1,1
62802,X - Northern Mindanao,34847,Male,35,Single Family,4,60,8,1,1
135257,X - Northern Mindanao,69570,Male,56,Extended Family,8,150,25,3,1
91596,X - Northern Mindanao,52289,Male,43,Single Family,5,80,18,2,1
165435,X - Northern Mindanao,43029,Male,51,Single Family,3,30,13,1,1
120898,X - Northern Mindanao,43069,Female,63,Extended Family,3,75,13,2,1
75506,X - Northern Mindanao,21694,Female,64,Single Family,2,60,5,1,1
88436,X - Northern Mindanao,38890,Male,41,Extended Family,4,100,25,2,1
120049,X - Northern Mindanao,32319,Female,35,Single Family,5,45,16,2,1
52798,X - Northern Mindanao,37786,Female,66,Extended Family,5,30,25,2,0
277629,X - Northern Mindanao,70698,Male,35,Single Family,6,80,18,5,1
74142,X - Northern Mindanao,27606,Female,58,Single Family,5,25,0,2,1
189006,X - Northern Mindanao,69435,Male,54,Extended Family,10,48,12,2,0
124631,X - Northern Mindanao,67954,Male,67,Extended Family,8,60,20,2,1
78160,X - Northern Mindanao,46581,Male,47,Single Family,7,30,13,2,1
86753,X - Northern Mindanao,41870,Female,75,Extended Family,8,48,13,1,1
42478,X - Northern Mindanao,28660,Female,38,Extended Family,3,24,6,0,0
25912,X - Northern Mindanao,9548,Male,63,Single Family,1,16,7,1,0
80335,X - Northern Mindanao,52104,Male,47,Single Family,8,60,21,2,0
413703,X - Northern Mindanao,64296,Male,35,Extended Family,5,72,28,3,1
291083,X - Northern Mindanao,71788,Male,56,Single Family,3,40,16,2,1
117456,X - Northern Mindanao,48130,Male,82,Extended Family,4,40,25,3,1
398092,X - Northern Mindanao,93897,Male,49,Single Family,7,84,8,2,1
137472,X - Northern Mindanao,26206,Female,78,Extended Family,3,88,15,3,1
272452,X - Northern Mindanao,62560,Male,74,Single Family,2,36,15,2,1
253780,X - Northern Mindanao,25671,Female,54,Single Family,1,20,25,2,1
425155,X - Northern Mindanao,87749,Male,45,Single Family,5,30,15,2,1
367770,X - Northern Mindanao,90018,Female,41,Single Family,5,144,13,3,1
298548,X - Northern Mindanao,79215,Female,48,Extended Family,9,100,20,3,1
899620,X - Northern Mindanao,225028,Male,55,Extended Family,12,72,31,3,1
170613,X - Northern Mindanao,58546,Female,27,Single Family,4,20,20,1,1
41673,X - Northern Mindanao,14809,Female,72,Single Family,1,40,30,1,1
184310,X - Northern Mindanao,73627,Male,44,Single Family,9,20,24,1,1
174568,X - Northern Mindanao,65842,Male,53,Single Family,5,300,21,2,1
244393,X - Northern Mindanao,68190,Female,60,Extended Family,4,37,18,2,1
115739,X - Northern Mindanao,45506,Male,34,Single Family,3,37,18,2,1
232967,X - Northern Mindanao,82117,Male,56,Single Family,2,30,23,1,1
375767,X - Northern Mindanao,122961,Male,57,Extended Family,13,50,30,2,1
421290,X - Northern Mindanao,115262,Male,48,Single Family,4,40,19,4,1
156578,X - Northern Mindanao,54909,Male,54,Extended Family,5,36,15,2,1
164597,X - Northern Mindanao,64138,Male,54,Single Family,4,27,20,2,1
225455,X - Northern Mindanao,145200,Male,45,Extended Family,12,100,24,2,1
314650,X - Northern Mindanao,91696,Male,55,Single Family,6,90,19,2,1
181878,X - Northern Mindanao,96258,Male,46,Single Family,9,100,10,3,1
154854,X - Northern Mindanao,49698,Male,54,Extended Family,4,42,5,3,1
77498,X - Northern Mindanao,28807,Female,32,Single Family,2,55,13,2,1
83275,X - Northern Mindanao,35726,Male,59,Extended Family,4,40,20,3,1
188845,X - Northern Mindanao,38887,Male,42,Single Family,4,32,8,2,1
159405,X - Northern Mindanao,48293,Male,45,Single Family,4,38,55,2,1
226998,X - Northern Mindanao,69896,Male,59,Extended Family,6,56,11,1,1
48944,X - Northern Mindanao,29913,Male,41,Single Family,3,48,16,1,1
80892,X - Northern Mindanao,49016,Male,42,Single Family,5,30,12,2,1
160186,X - Northern Mindanao,38495,Male,32,Single Family,6,35,5,2,1
66696,X - Northern Mindanao,38614,Female,78,Single Family,3,20,14,1,1
161095,X - Northern Mindanao,64113,Male,47,Extended Family,8,32,11,2,1
68570,X - Northern Mindanao,44380,Male,29,Single Family,5,18,3,1,0
118622,X - Northern Mindanao,54158,Female,40,Extended Family,4,32,25,2,1
148249,X - Northern Mindanao,37091,Male,46,Single Family,4,30,25,2,1
111427,X - Northern Mindanao,47863,Male,33,Single Family,4,56,9,3,1
92907,X - Northern Mindanao,50856,Male,66,Extended Family,3,38,31,3,1
36569,X - Northern Mindanao,17843,Female,65,Extended Family,2,48,5,2,1
77410,X - Northern Mindanao,50934,Male,42,Single Family,4,52,23,2,1
107182,X - Northern Mindanao,51764,Male,38,Single Family,6,60,13,2,1
122554,X - Northern Mindanao,56187,Male,50,Single Family,5,36,10,1,1
137888,X - Northern Mindanao,66009,Male,34,Single Family,6,25,10,2,1
118532,X - Northern Mindanao,35657,Male,40,Single Family,3,40,24,1,1
357948,X - Northern Mindanao,56818,Male,49,Extended Family,6,50,12,3,1
280911,X - Northern Mindanao,81259,Male,55,Extended Family,10,44,29,2,1
67245,X - Northern Mindanao,47421,Male,58,Single Family,2,66,35,4,1
99060,X - Northern Mindanao,34582,Male,56,Single Family,3,30,23,1,1
182625,X - Northern Mindanao,50031,Male,48,Single Family,4,50,20,2,1
267038,X - Northern Mindanao,51249,Male,47,Extended Family,6,80,7,3,1
117264,X - Northern Mindanao,42734,Male,33,Single Family,5,70,15,3,1
62152,X - Northern Mindanao,38012,Male,31,Single Family,5,50,10,1,0
42769,X - Northern Mindanao,28058,Male,54,Single Family,5,50,5,3,1
204755,X - Northern Mindanao,59741,Male,30,Single Family,4,100,25,1,1
286078,X - Northern Mindanao,129887,Male,60,Extended Family,10,70,25,2,1
265826,X - Northern Mindanao,62165,Female,26,Single Family,2,75,40,1,1
81868,X - Northern Mindanao,38169,Male,57,Single Family,3,24,20,1,1
499636,X - Northern Mindanao,92042,Male,63,Extended Family,4,100,19,3,1
838502,X - Northern Mindanao,171437,Male,52,Single Family,9,60,26,4,1
179872,X - Northern Mindanao,80907,Male,58,Extended Family,9,100,27,6,1
91467,X - Northern Mindanao,68218,Female,40,Single Family,8,30,25,0,1
179779,X - Northern Mindanao,70382,Male,29,Single Family,3,30,42,3,1
347215,X - Northern Mindanao,91471,Female,54,Extended Family,5,30,30,3,1
143769,X - Northern Mindanao,55735,Female,56,Single Family,4,25,40,1,1
65236,X - Northern Mindanao,35815,Female,61,Single Family,4,64,5,1,0
80448,X - Northern Mindanao,43808,Male,53,Extended Family,8,80,5,1,0
108939,X - Northern Mindanao,66652,Male,46,Single Family,4,120,25,2,1
304256,X - Northern Mindanao,70353,Male,44,Extended Family,9,46,17,2,1
54481,X - Northern Mindanao,31774,Male,33,Single Family,4,24,8,1,0
183790,X - Northern Mindanao,61183,Male,47,Single Family,8,50,8,2,1
72276,X - Northern Mindanao,44062,Male,38,Single Family,9,48,4,0,0
36631,X - Northern Mindanao,23356,Male,31,Single Family,4,64,23,0,0
56354,X - Northern Mindanao,30560,Male,29,Single Family,4,120,16,2,0
88431,X - Northern Mindanao,36741,Male,43,Single Family,4,50,17,2,0
70328,X - Northern Mindanao,32069,Female,60,Single Family,3,45,27,2,1
76931,X - Northern Mindanao,43878,Male,34,Single Family,5,56,5,0,1
75805,X - Northern Mindanao,43457,Male,36,Single Family,4,100,14,1,1
103447,X - Northern Mindanao,38618,Male,56,Single Family,1,40,36,1,1
258802,X - Northern Mindanao,96313,Male,57,Single Family,5,80,31,5,1
146999,X - Northern Mindanao,70780,Male,59,Extended Family,10,65,15,2,1
129154,X - Northern Mindanao,76896,Male,40,Single Family,7,67,37,3,1
242169,X - Northern Mindanao,94309,Male,49,Extended Family,5,80,10,2,1
333504,X - Northern Mindanao,108407,Male,42,Single Family,5,60,45,2,1
111195,X - Northern Mindanao,62264,Male,42,Extended Family,8,40,9,2,1
149585,X - Northern Mindanao,75126,Male,42,Single Family,5,44,8,2,1
113280,X - Northern Mindanao,56182,Male,57,Single Family,6,24,11,2,1
93637,X - Northern Mindanao,53616,Male,61,Extended Family,6,55,35,2,1
95067,X - Northern Mindanao,53301,Male,39,Single Family,8,23,5,1,1
58986,X - Northern Mindanao,36476,Male,42,Single Family,5,18,7,1,0
100952,X - Northern Mindanao,57012,Male,43,Extended Family,5,26,3,2,1
46396,X - Northern Mindanao,22220,Male,75,Single Family,2,32,15,3,1
52787,X - Northern Mindanao,34655,Male,34,Single Family,5,20,15,1,1
86164,X - Northern Mindanao,29023,Male,63,Single Family,3,33,25,2,1
77817,X - Northern Mindanao,33969,Female,78,Extended Family,4,72,23,3,1
104530,X - Northern Mindanao,58765,Male,68,Extended Family,5,23,38,1,1
267071,X - Northern Mindanao,93986,Male,57,Extended Family,8,34,31,3,1
927373,X - Northern Mindanao,125197,Male,88,Extended Family,4,135,37,7,1
112317,X - Northern Mindanao,59003,Male,41,Single Family,7,21,13,2,1
99564,X - Northern Mindanao,46855,Female,40,Single Family,3,30,12,2,1
84293,X - Northern Mindanao,46045,Female,74,Single Family,4,33,17,2,1
217045,X - Northern Mindanao,49427,Female,75,Single Family,2,140,34,5,1
89362,X - Northern Mindanao,62248,Male,41,Single Family,8,24,8,1,1
25377,X - Northern Mindanao,11369,Male,74,Single Family,1,23,5,0,0
93598,X - Northern Mindanao,42840,Female,47,Single Family,3,33,11,0,1
90793,X - Northern Mindanao,49263,Male,32,Single Family,5,39,8,1,1
102329,X - Northern Mindanao,58639,Female,36,Single Family,4,54,32,2,1
103116,X - Northern Mindanao,74171,Male,79,Single Family,5,20,19,2,1
123809,X - Northern Mindanao,39186,Female,64,Single Family,2,54,6,3,1
52799,X - Northern Mindanao,27176,Male,55,Single Family,3,20,8,1,1
430522,X - Northern Mindanao,156719,Male,60,Extended Family,5,84,27,4,1
1027386,X - Northern Mindanao,239399,Male,61,Extended Family,7,27,38,3,1
330017,X - Northern Mindanao,157235,Male,58,Extended Family,10,38,35,3,1
78565,X - Northern Mindanao,39141,Female,77,Extended Family,2,18,10,1,1
203049,X - Northern Mindanao,128003,Male,36,Single Family,7,26,28,2,1
100551,X - Northern Mindanao,56902,Male,34,Single Family,3,36,85,2,1
50584,X - Northern Mindanao,25911,Male,41,Single Family,2,21,25,1,1
432281,X - Northern Mindanao,118741,Male,40,Extended Family,5,120,12,4,1
1026111,X - Northern Mindanao,203091,Male,52,Single Family,3,59,23,5,1
362857,X - Northern Mindanao,86132,Female,48,Single Family,2,48,36,1,1
289585,X - Northern Mindanao,93960,Male,45,Extended Family,7,80,13,2,1
224329,X - Northern Mindanao,68735,Male,74,Extended Family,3,60,38,3,1
350097,X - Northern Mindanao,75863,Female,65,Extended Family,7,46,29,4,1
77393,X - Northern Mindanao,41965,Male,31,Extended Family,5,10,40,2,1
206389,X - Northern Mindanao,72595,Male,47,Extended Family,8,23,14,3,1
263025,X - Northern Mindanao,109100,Male,51,Extended Family,6,81,23,2,1
158197,X - Northern Mindanao,81661,Male,37,Extended Family,6,108,28,3,1
238114,X - Northern Mindanao,57538,Male,67,Extended Family,4,18,8,2,1
71625,X - Northern Mindanao,41080,Male,30,Single Family,3,20,21,1,1
128600,X - Northern Mindanao,77430,Male,37,Single Family,5,20,12,1,1
106666,X - Northern Mindanao,56609,Female,46,Single Family,5,42,16,2,1
98205,X - Northern Mindanao,52199,Male,54,Extended Family,5,25,6,2,1
155127,X - Northern Mindanao,90502,Male,41,Single Family,6,39,15,2,1
94512,X - Northern Mindanao,55164,Male,67,Extended Family,4,25,5,0,1
166659,X - Northern Mindanao,62620,Male,38,Single Family,3,16,17,1,1
330116,X - Northern Mindanao,111557,Female,75,Extended Family,4,30,18,2,1
338558,X - Northern Mindanao,105599,Female,60,Extended Family,3,60,10,2,1
131608,X - Northern Mindanao,86060,Male,42,Extended Family,7,32,20,2,1
245919,X - Northern Mindanao,49180,Male,51,Single Family,4,29,12,1,1
240441,X - Northern Mindanao,124627,Male,66,Extended Family,9,95,17,3,1
49207,X - Northern Mindanao,31677,Male,33,Single Family,2,45,12,2,1
163981,X - Northern Mindanao,81618,Male,48,Extended Family,6,55,13,2,1
110672,X - Northern Mindanao,75492,Male,54,Extended Family,6,120,35,3,1
98721,X - Northern Mindanao,64713,Male,41,Single Family,7,25,35,1,1
56376,X - Northern Mindanao,18050,Male,63,Single Family,1,35,20,1,1
107770,X - Northern Mindanao,68418,Male,45,Single Family,4,45,14,1,1
95062,X - Northern Mindanao,48437,Male,44,Single Family,2,25,14,1,1
84713,X - Northern Mindanao,21989,Female,58,Single Family,1,30,15,1,1
79954,X - Northern Mindanao,57859,Male,53,Single Family,3,55,26,2,1
67322,X - Northern Mindanao,49330,Male,51,Single Family,4,45,15,1,1
421899,X - Northern Mindanao,135028,Male,50,Single Family,5,80,55,2,1
66782,X - Northern Mindanao,13347,Male,62,Single Family,2,35,34,1,1
222326,X - Northern Mindanao,99045,Male,38,Extended Family,5,45,68,1,1
88115,X - Northern Mindanao,26082,Male,61,Single Family,2,70,15,2,1
195368,X - Northern Mindanao,82537,Male,50,Extended Family,10,80,17,2,1
139005,X - Northern Mindanao,88898,Male,40,Two or More Nonrelated Persons/Members,7,70,32,1,1
80390,X - Northern Mindanao,37244,Female,65,Extended Family,3,81,7,2,1
164030,X - Northern Mindanao,68761,Male,44,Single Family,4,100,8,3,1
407251,X - Northern Mindanao,199686,Male,38,Extended Family,9,85,9,3,1
81877,X - Northern Mindanao,46681,Female,69,Extended Family,6,36,22,1,1
170042,X - Northern Mindanao,73142,Female,58,Extended Family,15,28,23,2,1
102983,X - Northern Mindanao,68802,Male,44,Extended Family,5,43,15,2,1
61837,X - Northern Mindanao,37938,Male,45,Single Family,5,60,20,2,1
40853,X - Northern Mindanao,27160,Male,61,Single Family,2,50,1,2,1
74556,X - Northern Mindanao,36129,Female,63,Extended Family,6,30,26,0,1
93596,X - Northern Mindanao,71182,Male,60,Single Family,5,90,35,3,1
64488,X - Northern Mindanao,33470,Female,81,Extended Family,4,60,40,2,1
164792,X - Northern Mindanao,72486,Male,63,Extended Family,9,80,18,2,1
58173,X - Northern Mindanao,41244,Male,65,Single Family,5,39,13,2,1
49001,X - Northern Mindanao,25865,Male,57,Single Family,2,80,31,1,0
165501,X - Northern Mindanao,51471,Female,66,Extended Family,3,100,30,2,1
52558,X - Northern Mindanao,18396,Male,65,Single Family,1,150,30,2,1
134679,X - Northern Mindanao,74557,Male,49,Extended Family,7,80,35,2,1
78243,X - Northern Mindanao,32148,Female,37,Single Family,5,70,41,3,1
143658,X - Northern Mindanao,57796,Male,77,Single Family,3,80,6,2,1
1714430,X - Northern Mindanao,114386,Male,48,Single Family,4,100,24,3,1
912380,X - Northern Mindanao,74559,Male,59,Single Family,2,54,29,2,1
335051,X - Northern Mindanao,81278,Male,45,Single Family,3,49,9,3,1
271319,X - Northern Mindanao,77687,Male,43,Single Family,3,100,25,4,1
178545,X - Northern Mindanao,53129,Female,60,Extended Family,2,64,10,2,1
89055,X - Northern Mindanao,61897,Male,41,Single Family,7,32,9,2,1
202896,X - Northern Mindanao,99667,Male,53,Single Family,6,20,29,4,1
321594,X - Northern Mindanao,89909,Male,57,Extended Family,4,22,30,2,1
99975,X - Northern Mindanao,48177,Female,77,Extended Family,4,40,19,2,1
44716,X - Northern Mindanao,24481,Male,48,Single Family,2,30,5,1,1
624978,X - Northern Mindanao,116783,Male,63,Extended Family,6,100,32,3,1
203094,X - Northern Mindanao,58442,Male,53,Single Family,3,120,21,2,1
165084,X - Northern Mindanao,73167,Male,41,Single Family,5,50,23,1,0
136723,X - Northern Mindanao,63021,Male,64,Single Family,3,80,30,3,1
86382,X - Northern Mindanao,42115,Female,57,Single Family,5,50,45,1,0
166148,X - Northern Mindanao,60363,Male,44,Single Family,6,60,15,3,1
108410,X - Northern Mindanao,36147,Male,46,Single Family,2,96,13,1,1
140341,X - Northern Mindanao,61888,Male,53,Single Family,4,45,29,2,1
267835,X - Northern Mindanao,39633,Male,77,Single Family,1,55,55,2,1
360050,X - Northern Mindanao,124561,Male,46,Extended Family,10,20,22,1,1
811040,X - Northern Mindanao,233992,Male,43,Single Family,4,45,7,2,1
117737,X - Northern Mindanao,60000,Male,66,Extended Family,3,60,28,1,1
439562,X - Northern Mindanao,126590,Female,30,Extended Family,2,35,36,2,1
53068,X - Northern Mindanao,40161,Male,60,Extended Family,6,30,16,2,0
115670,X - Northern Mindanao,37641,Male,45,Single Family,4,38,11,1,0
67749,X - Northern Mindanao,35583,Male,38,Single Family,4,34,19,1,0
48174,X - Northern Mindanao,31009,Male,34,Single Family,6,30,5,1,0
53090,X - Northern Mindanao,33074,Male,51,Single Family,3,20,12,1,0
59298,X - Northern Mindanao,24577,Male,43,Single Family,8,34,35,2,0
114656,X - Northern Mindanao,37489,Female,60,Extended Family,4,30,25,2,0
68361,X - Northern Mindanao,31021,Male,55,Single Family,3,36,11,2,0
80990,X - Northern Mindanao,38238,Male,50,Extended Family,4,62,12,2,0
63173,X - Northern Mindanao,27436,Male,75,Extended Family,3,30,59,1,0
67566,X - Northern Mindanao,41297,Male,35,Extended Family,5,26,12,1,0
40303,X - Northern Mindanao,18441,Male,64,Single Family,2,30,4,3,0
56017,X - Northern Mindanao,31934,Male,48,Single Family,7,20,10,1,0
196867,X - Northern Mindanao,62675,Female,85,Extended Family,4,100,62,3,1
213084,X - Northern Mindanao,85132,Male,56,Single Family,4,80,12,3,1
197812,X - Northern Mindanao,113116,Male,52,Single Family,7,75,5,2,1
238930,X - Northern Mindanao,65789,Female,55,Single Family,3,140,8,2,1
150613,X - Northern Mindanao,69687,Male,56,Single Family,7,90,28,2,1
415406,X - Northern Mindanao,127516,Male,52,Two or More Nonrelated Persons/Members,11,100,6,3,1
182997,X - Northern Mindanao,43530,Female,64,Single Family,2,60,15,2,1
177464,X - Northern Mindanao,77039,Male,45,Single Family,5,70,13,1,1
402883,X - Northern Mindanao,58641,Male,68,Two or More Nonrelated Persons/Members,6,200,17,3,1
351738,X - Northern Mindanao,90260,Male,86,Extended Family,7,90,46,2,1
332988,X - Northern Mindanao,135776,Female,42,Single Family,3,70,15,2,1
139109,X - Northern Mindanao,52377,Female,68,Extended Family,2,80,25,2,1
259741,X - Northern Mindanao,47962,Female,63,Extended Family,4,90,29,3,1
115497,X - Northern Mindanao,69894,Male,46,Extended Family,7,25,21,2,1
286883,X - Northern Mindanao,95517,Male,75,Extended Family,4,45,17,2,1
1090890,X - Northern Mindanao,258057,Female,58,Extended Family,11,240,42,6,1
124443,X - Northern Mindanao,53170,Male,35,Single Family,2,30,11,1,1
520800,X - Northern Mindanao,73549,Male,68,Single Family,2,65,21,3,1
841864,X - Northern Mindanao,225031,Male,33,Extended Family,6,45,20,3,1
130689,X - Northern Mindanao,57292,Male,30,Single Family,3,35,20,2,1
83449,X - Northern Mindanao,32161,Female,31,Extended Family,4,30,21,2,1
366986,X - Northern Mindanao,95716,Male,33,Extended Family,4,35,5,1,1
1153005,X - Northern Mindanao,235196,Male,38,Extended Family,6,54,35,4,1
356724,X - Northern Mindanao,84991,Male,56,Single Family,2,45,11,2,1
214404,X - Northern Mindanao,85245,Male,34,Extended Family,6,117,20,3,1
270036,X - Northern Mindanao,120569,Male,58,Extended Family,5,70,23,3,1
101969,X - Northern Mindanao,59701,Male,49,Single Family,6,32,3,0,1
104557,X - Northern Mindanao,48910,Male,70,Single Family,1,30,32,3,1
134384,X - Northern Mindanao,64428,Male,46,Single Family,10,36,14,2,0
43769,X - Northern Mindanao,21743,Male,70,Single Family,2,72,5,2,0
77214,X - Northern Mindanao,57133,Male,47,Single Family,7,15,1,1,0
137168,X - Northern Mindanao,86660,Male,38,Single Family,8,30,14,2,0
168938,X - Northern Mindanao,92610,Male,38,Single Family,9,60,10,2,0
113095,X - Northern Mindanao,58110,Male,38,Single Family,5,40,8,1,0
207090,X - Northern Mindanao,72616,Male,23,Single Family,5,30,10,1,0
89730,X - Northern Mindanao,52620,Male,30,Single Family,4,35,5,1,0
117714,X - Northern Mindanao,69700,Male,51,Single Family,7,50,2,1,0
47547,X - Northern Mindanao,39695,Female,38,Single Family,5,30,3,1,0
145804,X - Northern Mindanao,113649,Male,59,Single Family,7,37,3,2,0
400256,X - Northern Mindanao,129339,Female,50,Extended Family,11,200,40,2,0
50134,X - Northern Mindanao,41076,Male,29,Single Family,6,35,14,0,0
83667,X - Northern Mindanao,48586,Male,33,Single Family,5,30,15,1,1
77231,X - Northern Mindanao,44333,Female,56,Single Family,3,20,2,2,0
527013,X - Northern Mindanao,118466,Male,53,Single Family,4,150,23,3,1
404681,X - Northern Mindanao,54972,Male,62,Extended Family,2,80,24,3,1
153384,X - Northern Mindanao,61267,Female,86,Two or More Nonrelated Persons/Members,4,80,15,3,1
627054,X - Northern Mindanao,116338,Male,60,Single Family,3,80,23,2,1
1421465,X - Northern Mindanao,252898,Female,52,Extended Family,11,120,23,5,1
536823,X - Northern Mindanao,141739,Female,37,Extended Family,9,80,23,3,1
1423700,X - Northern Mindanao,155691,Female,54,Single Family,6,240,26,3,1
494620,X - Northern Mindanao,148214,Female,41,Extended Family,10,240,24,5,1
189553,X - Northern Mindanao,54834,Male,52,Extended Family,2,80,23,3,1
1000394,X - Northern Mindanao,242867,Male,55,Extended Family,7,80,17,3,1
141272,X - Northern Mindanao,91017,Male,43,Single Family,5,27,3,0,1
271404,X - Northern Mindanao,80150,Female,42,Single Family,3,17,3,0,1
212011,X - Northern Mindanao,88852,Male,36,Single Family,4,17,3,0,1
120784,X - Northern Mindanao,72579,Male,40,Extended Family,8,50,31,2,1
186630,X - Northern Mindanao,65318,Male,44,Single Family,4,100,11,2,1
193384,X - Northern Mindanao,56288,Male,64,Extended Family,5,100,55,2,1
503897,X - Northern Mindanao,54659,Male,37,Single Family,3,150,30,3,1
207073,X - Northern Mindanao,60237,Male,50,Single Family,7,60,5,1,1
355560,X - Northern Mindanao,108429,Male,51,Extended Family,8,100,30,4,1
65308,X - Northern Mindanao,23852,Male,75,Single Family,2,30,55,1,1
94508,X - Northern Mindanao,62219,Male,46,Single Family,9,25,55,1,1
80730,X - Northern Mindanao,45565,Female,34,Single Family,6,40,18,1,0
320722,X - Northern Mindanao,85669,Male,67,Extended Family,5,100,18,1,1
189133,X - Northern Mindanao,37960,Male,37,Single Family,3,200,70,3,1
279925,X - Northern Mindanao,89612,Male,59,Extended Family,9,80,25,1,1
916536,X - Northern Mindanao,134743,Female,41,Single Family,4,100,40,1,1
164975,X - Northern Mindanao,65172,Male,50,Single Family,5,65,20,3,1
155698,X - Northern Mindanao,61354,Male,41,Single Family,5,60,16,2,1
580600,X - Northern Mindanao,125585,Male,67,Extended Family,4,90,20,3,1
684524,X - Northern Mindanao,130754,Male,54,Single Family,6,42,14,3,1
518320,X - Northern Mindanao,141626,Male,44,Single Family,5,60,16,3,1
445258,X - Northern Mindanao,72063,Male,32,Extended Family,4,80,2,3,1
970360,X - Northern Mindanao,322354,Male,78,Extended Family,7,264,42,8,1
75697,X - Northern Mindanao,45161,Female,87,Single Family,1,38,67,1,1
998542,X - Northern Mindanao,76374,Male,66,Single Family,2,120,37,4,1
125465,X - Northern Mindanao,58965,Female,32,Single Family,3,50,3,0,1
124285,X - Northern Mindanao,64967,Male,24,Single Family,3,40,15,1,1
79315,X - Northern Mindanao,48173,Male,47,Single Family,4,16,24,1,1
47260,X - Northern Mindanao,19412,Male,53,Single Family,1,120,33,2,0
99505,X - Northern Mindanao,55305,Male,52,Single Family,4,20,1,1,1
255053,X - Northern Mindanao,81732,Female,44,Single Family,3,23,40,3,1
